,station,lat,lon,distance(km),EW-PGA,NS-PGA,UD-PGA,PGA,EW-PGV,NS-PGV,UD-PGV,PGV,I
26,C5804,24.75265,118.5285,366.70056705089917,10.683972192011833,7.306763484853776,13.640128039353128,14.817969834350095,3.3166311403232602,2.1924517169504965,1.6738303544535342,4.006807908503205,11.578395566896218
27,C5305,24.98875,118.82674,366.80300569000235,4.28225835027772,2.6799934619248966,2.925408609720457,4.299804351741483,1.4515307524391556,1.0279655109954102,1.3100963468866444,2.170018418340268,10.779390260001254
28,C5812,24.7821,118.5592,366.91984565656594,7.514804771973818,5.09566804931946,4.616685926394324,8.317716873493117,1.236155232883127,2.2278569220389572,1.2722320192858934,2.8104367243738064,11.116321435425231
29,E6903,24.2588,118.0645,367.20292512737393,4.513092750510071,3.0665207266259946,1.9187511680763882,4.582417887894637,0.45185170741756575,0.21976073089094209,0.24934660270993872,0.5176669180323992,8.91215123567351
30,C5923,24.6344,118.3741,368.69791558378415,3.892982237941119,6.2067454683332395,4.856418158259105,6.5974586249284455,0.6270912626850687,2.543201098534144,2.2297153867070336,3.3891450855236154,11.360270482694135
31,B4409,25.1563,119.0508,368.8856592600975,3.6496901412984095,2.6979918986706233,2.119822920246832,3.730831696146415,2.6985498893713533,2.0559524369195628,0.9674833384317044,3.4857827932280094,11.396900965325834
32,C5315,24.9327,118.7124,369.16630621427674,6.479506991702525,3.2954586804379606,5.323481731988586,7.278482916854426,1.904719663289777,2.8569723706841113,2.822738271382294,4.387443642810261,11.69663465284987
33,C5303,24.99881,118.79303,369.768976615579,5.021210735153884,3.7867712211302313,3.689407662093799,5.280628316720384,6.827046006721818,0.49109441714269747,3.1162078676842464,7.499805119049047,12.0
34,B4402,25.25401,119.20185,370.156252459576,3.8884840971380736,6.582149706832305,5.657931707695798,8.43198436540208,2.4447898135355977,0.285447515443876,0.3866249135668144,2.475357493259835,10.950913786946124
35,C5308,25.047,118.85329,370.3276789080485,4.444120340361283,3.062201320109985,5.824233545865661,6.548671987607849,0.22898449930257483,2.445488865195744,0.7495309171120498,2.5090085479091657,10.968506422728357
36,B4407,25.19326,119.08444,370.5086834764961,5.33712300675728,3.883662555546665,5.863886296262735,7.195131460862834,4.135692499714094,0.23953193839757309,2.13928071613962,4.626593957302462,11.765784158857892
37,B4406,25.2258,119.1083,372.29948093361986,2.6149611061653917,2.3795294600853363,1.9335145742873163,2.616930994145239,0.3055154805467057,1.1132940295184457,0.6591212785341085,1.2972739581576407,10.109095100077182
38,C5801,24.826,118.5249,372.83857268904114,5.893713886609696,4.408363898900063,3.3739094664845872,5.955955493013508,3.556350872920794,1.6477871530688626,2.078776066246678,4.357509094098561,11.687714906459828
39,C5304,25.04207,118.80243,372.98259576834715,2.526845600215184,2.192903363237065,2.4477158963753087,2.811951529813861,1.5471711493915892,0.2923864382118944,1.044065668965236,1.85666973570652,10.5762039750056
40,C5803,24.7905,118.4686,373.92738334885775,3.5339245663978844,2.6394976876009215,1.9327382328767584,3.553175485815361,0.6060307727697635,0.5218667068261493,0.24534683305739222,0.8005925214149474,9.480234586722482
41,C5201,25.1398,118.9321,374.0366215307917,4.386574599110426,2.404393241516893,8.958727365997568,9.120500122646826,3.042492768504834,0.4774051266716055,18.07989215107197,18.330099371319555,12.0
42,D2503,24.61278,118.27571,374.4811431772737,2.5601182476591138,9.28954534296531,7.252754553447586,9.630196866516894,1.2318597490990075,0.7194316043592711,1.9129416368447139,2.3254646255544564,10.869529212523021
43,C5922,24.7501,118.4147,374.59016215963715,12.56624493820985,16.81858571520874,13.685807708171497,25.061457857274675,7.045600181372271,6.846131543452959,1.864130832105961,9.924822836362551,12.0
44,E6314,24.1081,117.8696,374.8931063158587,6.915527818408262,4.9684298678702925,2.6546038745097444,7.195511255382852,0.3242533486892086,1.2580853813844264,0.33448735617702263,1.2789057864313154,10.090515657032368
45,E6316,23.9995,117.7966,375.41504442456375,2.1356325011862927,2.4194185212045336,2.2636648069394023,2.6548421053757405,1.1659317402007638,0.7923275639728775,0.5708559660379658,1.4948772431161679,10.29381659170808
46,E6902,24.3188,118.004,376.035881118727,2.870672068068723,1.9120388253156075,2.456528572020075,2.9534164756224475,1.0465672216727637,0.6010848754168534,1.1249337895925466,1.627836210798299,10.404832115065599
47,E6311,24.1744,117.8984,376.2018923274449,7.117210909849209,9.014758207713005,12.927406576403385,17.13271594289892,5.648379792831449,1.1055072120076244,3.2550796381581746,6.501513921890475,12.0
48,C5302,25.01257,118.70622,376.40931038273595,2.16993255067406,2.362913792099897,1.8985918716610808,2.6636868376321443,0.6182453553304046,1.6179287000709235,0.6699563023468964,1.8335901814036757,10.559906824138032
49,D2504,24.67657,118.31278,376.4272537381823,2.7024704200959886,6.6221349131590275,4.521645768780075,7.523194195673408,0.7866056313414703,0.2375487033500779,0.9017279173322238,1.1734526835408239,9.978396747441458
50,E6315,23.94,117.7486,376.65576230931464,3.7174859857710856,3.13106482023394,2.6650149285404687,4.56481965848308,3.4999021153942182,1.3526187647435755,0.9284329431888406,3.844387353413149,11.524481419748016
51,D2101,24.5384,118.1652,377.66661717852975,2.9559583345163487,3.258704925440134,1.9466052887826697,3.4046936472965754,2.055600481974266,2.5386922450324465,1.2132440364152113,3.4690075329850085,11.390615728753854
52,C5101,24.9474,118.5984,377.85508040365664,6.768447049695376,2.3672103194836187,6.319363547509551,8.432197293490226,1.718552902840636,0.2971053372978112,6.068537443048764,6.310004080435253,12.0
53,D2102,24.4506,118.0833,378.1398605718055,2.5114410041963318,5.003497398946964,5.388136837885904,6.162764138749956,1.5487836271872448,0.5245553050902169,0.43259252064762144,1.5675160652258713,10.35563600162442
54,B4301,25.3202,119.1677,378.2260212839747,7.248340822853301,10.336659678416492,11.267088242443123,12.78562943157892,3.3302220964945515,6.461197339359983,6.425507207894091,9.518328494597041,12.0
55,C5205,25.1586,118.8839,378.5277304482882,3.3123224428232017,3.1900909026955064,4.662597966389355,4.835495747183549,0.961337342265297,0.2967432473983909,3.298899317026332,3.4070039111954094,11.367117896397446
